"created","song","artist","url","text"
2015-07-03 04:45:42,"Nightclub Amnesia","Ratatat",NA,"Nightclub Amnesia - Ratatat #beats1"
2015-07-03 04:37:42,"Smooth Sailin","Leon Bridges",NA,"Smooth Sailin - Leon Bridges #beats1"
2015-07-03 04:34:41,"Sign On","RAT BOY",NA,"Sign On - RAT BOY #beats1"
2015-07-03 04:32:40,"An Interview with Gavin James","Zane Lowe",NA,"An Interview with Gavin James - Zane Lowe #beats1"
2015-07-03 04:28:41,"Bitter Pill","Gavin James",NA,"Bitter Pill - Gavin James #beats1"
2015-07-03 04:25:41,"Freedom","Pharrell Williams",NA,"Freedom - Pharrell Williams #beats1"
2015-07-03 04:19:40,"Bloodstream","Ed Sheeran &amp; Rudimental",NA,"Bloodstream - Ed Sheeran &amp; Rudimental #beats1"
2015-07-03 04:13:41,"Oceans","Coasts",NA,"Oceans - Coasts #beats1"
2015-07-03 04:08:40,"Open Eye Signal","Jon Hopkins",NA,"Open Eye Signal - Jon Hopkins #beats1"
2015-07-03 04:03:41,"Crystallise (feat. Lawrence Hart)","George FitzGerald",NA,"Crystallise (feat. Lawrence Hart) - George FitzGerald #beats1"
2015-07-03 03:59:40,"All I Need","Radiohead",NA,"All I Need - Radiohead #beats1"
2015-07-03 03:51:39,"Ship To Wreck","Florence + The Machine",NA,"Ship To Wreck - Florence + The Machine #beats1"
2015-07-03 03:47:40,"Good For You (feat. A$AP Rocky)","Selena Gomez",NA,"Good For You (feat. A$AP Rocky) - Selena Gomez #beats1"
2015-07-03 03:40:39,"Truffle Butter (feat. Drake &amp; Lil Wayne)","Nicki Minaj",NA,"Truffle Butter (feat. Drake &amp; Lil Wayne) - Nicki Minaj #beats1"
2015-07-03 03:36:40,"Bros","Wolf Alice",NA,"Bros - Wolf Alice #beats1"
2015-07-03 03:32:39,"Classic Man Remix (feat. Kendrick Lamar)","Jidenna",NA,"Classic Man Remix (feat. Kendrick Lamar) - Jidenna #beats1"
2015-07-03 03:28:39,"face the sun (feat. Lenny Kravitz)","Miguel",NA,"face the sun (feat. Lenny Kravitz) - Miguel #beats1"
2015-07-03 03:19:40,"You Know You Like It","DJ Snake &amp; AlunaGeorge",NA,"You Know You Like It - DJ Snake &amp; AlunaGeorge #beats1"
2015-07-03 03:16:40,"Freedom","Pharrell Williams",NA,"Freedom - Pharrell Williams #beats1"
2015-07-03 03:14:40,"Flex (Ooh, Ooh, Ooh)","Rich Homie Quan",NA,"Flex (Ooh, Ooh, Ooh) - Rich Homie Quan #beats1"
2015-07-03 03:10:40,"Pedestrian at Best","Courtney Barnett",NA,"Pedestrian at Best - Courtney Barnett #beats1"
2015-07-03 03:07:39,"Shutdown","Skepta",NA,"Shutdown - Skepta #beats1"
2015-07-03 03:03:39,"Powerful (feat. Ellie Goulding &amp; Tarrus Riley)","Major Lazer",NA,"Powerful (feat. Ellie Goulding &amp; Tarrus Riley) - Major Lazer #beats1"
2015-07-03 03:00:40,"Holding On (feat. Sam Dew)","Julio Bashmore",NA,"Holding On (feat. Sam Dew) - Julio Bashmore #beats1"
2015-07-03 02:56:41,"On a Ragga Tip '97 (Original Mix)","SL2",NA,"On a Ragga Tip '97 (Original Mix) - SL2 #beats1"
2015-07-03 02:52:39,"All We Do","Oh Wonder",NA,"All We Do - Oh Wonder #beats1"
2015-07-03 02:48:39,"Your Drums, Your Love","AlunaGeorge",NA,"Your Drums, Your Love - AlunaGeorge #beats1"
2015-07-03 02:41:39,"Keep Her Close","Odesza",NA,"Keep Her Close - Odesza #beats1"
2015-07-03 02:38:39,"Go (feat. Blood Diamonds)","Grimes",NA,"Go (feat. Blood Diamonds) - Grimes #beats1"
2015-07-03 02:33:39,"Set You Free (Original Mix)","N",NA,"Set You Free (Original Mix) - N-Trance #beats1"
2015-07-03 02:29:37,"Renegade Master","Wildchild",NA,"Renegade Master - Wildchild #beats1"
2015-07-03 02:25:37,"For You","Fyfe",NA,"For You - Fyfe #beats1"
2015-07-03 02:21:37,"Forest Fires","Axel Flovent",NA,"Forest Fires - Axel Flovent #beats1"
2015-07-03 02:17:38,"Intro","alt",NA,"Intro - alt-J #beats1"
2015-07-03 02:13:38,"Nobody Else (Sebastian Carter Remix)","Full Crate x Mar",NA,"Nobody Else (Sebastian Carter Remix) - Full Crate x Mar #beats1"
2015-07-03 02:09:38,"Runaway (U &amp; I)","Galantis",NA,"Runaway (U &amp; I) - Galantis #beats1"
2015-07-03 02:04:37,"Rebound (feat. elkka)","Flosstradamus",NA,"Rebound (feat. elkka) - Flosstradamus #beats1"
2015-07-03 02:00:38,"Luna","Bombay Bicycle Club",NA,"Luna - Bombay Bicycle Club #beats1"
2015-07-03 01:56:37,"Commas","Future",NA,"Commas - Future #beats1"
2015-07-03 01:50:37,"Headlights (feat. Nate Ruess)","Eminem",NA,"Headlights (feat. Nate Ruess) - Eminem #beats1"
2015-07-03 01:46:37,"Habits (Stay High)","Tove Lo",NA,"Habits (Stay High) - Tove Lo #beats1"
2015-07-03 01:42:36,"Down On My Luck","Vic Mensa",NA,"Down On My Luck - Vic Mensa #beats1"
2015-07-03 01:38:36,"Painted","MS MR",NA,"Painted - MS MR #beats1"
2015-07-03 01:33:36,"Slow Down","Brand Nubian",NA,"Slow Down - Brand Nubian #beats1"
2015-07-03 01:29:37,"Golden (feat. Sia)","Travie McCoy",NA,"Golden (feat. Sia) - Travie McCoy #beats1"
2015-07-03 01:21:37,"Peanut Butter Jelly","Galantis",NA,"Peanut Butter Jelly - Galantis #beats1"
2015-07-03 01:17:36,"Alright","Kendrick Lamar",NA,"Alright - Kendrick Lamar #beats1"
2015-07-03 01:13:37,"Dreams","Beck",NA,"Dreams - Beck #beats1"
2015-07-03 01:08:36,"Know Yourself","Drake",NA,"Know Yourself - Drake #beats1"
2015-07-03 01:05:35,"Bills","LunchMoney Lewis",NA,"Bills - LunchMoney Lewis #beats1"
2015-07-03 01:00:36,"Cha Cha","D.R.A.M.",NA,"Cha Cha - D.R.A.M. #beats1"
2015-07-03 00:56:35,"Ship To Wreck","Florence + The Machine",NA,"Ship To Wreck - Florence + The Machine #beats1"
2015-07-03 00:51:36,"Photograph","Ed Sheeran",NA,"Photograph - Ed Sheeran #beats1"
2015-07-03 00:48:35,"Lucky Strike","Maroon 5",NA,"Lucky Strike - Maroon 5 #beats1"
2015-07-03 00:44:36,"Oh My","Boogie",NA,"Oh My - Boogie #beats1"
2015-07-03 00:39:36,"I Got U (feat. Jax Jones)","Duke Dumont",NA,"I Got U (feat. Jax Jones) - Duke Dumont #beats1"
2015-07-03 00:36:35,"Trap Queen","Fetty Wap",NA,"Trap Queen - Fetty Wap #beats1"
2015-07-03 00:32:36,"She Wants to Move","N.E.R.D",NA,"She Wants to Move - N.E.R.D #beats1"
2015-07-03 00:27:35,"West Coast","Lana Del Rey",NA,"West Coast - Lana Del Rey #beats1"
2015-07-03 00:12:35,"Watch Me (Whip / Nae Nae)","Silento",NA,"Watch Me (Whip / Nae Nae) - Silento #beats1"
2015-07-03 00:10:35,"Better Man","Leon Bridges",NA,"Better Man - Leon Bridges #beats1"
2015-07-03 00:05:35,"Coffee","Miguel",NA,"Coffee - Miguel #beats1"
2015-07-03 00:01:34,"The Wolf","Mumford &amp; Sons",NA,"The Wolf - Mumford &amp; Sons #beats1"
2015-07-02 23:59:34,"Dopeman (feat. Joey Fatts &amp; Kilo Kish)","Vince Staples",NA,"Dopeman (feat. Joey Fatts &amp; Kilo Kish) - Vince Staples #beats1"
2015-07-02 23:55:34,"Lonely Boy","The Black Keys",NA,"Lonely Boy - The Black Keys #beats1"
2015-07-02 23:50:33,"SpottieOttieDopaliscious","Outkast",NA,"SpottieOttieDopaliscious - Outkast #beats1"
2015-07-02 23:46:33,"U Mad (feat. Kanye West)","Vic Mensa",NA,"U Mad (feat. Kanye West) - Vic Mensa #beats1"
2015-07-02 23:39:33,"Way Too Much","Fetty &amp; Skepta",NA,"Way Too Much - Fetty &amp; Skepta #beats1"
2015-07-02 23:36:33,"Shutdown","Skepta",NA,"Shutdown - Skepta #beats1"
2015-07-02 23:33:33,"Ojuelegba","Wizkid",NA,"Ojuelegba - Wizkid #beats1"
2015-07-02 23:29:33,"Radio","Santigold",NA,"Radio - Santigold #beats1"
2015-07-02 23:26:33,"Say Aha","Santigold",NA,"Say Aha - Santigold #beats1"
2015-07-02 23:23:34,"I'm Yours (feat. Vic Mensa)","Justine Skye",NA,"I'm Yours (feat. Vic Mensa) - Justine Skye #beats1"
2015-07-02 23:19:33,"Bonita Applebum","A Tribe Called Quest",NA,"Bonita Applebum - A Tribe Called Quest #beats1"
2015-07-02 23:16:32,"Electric Body (feat. ScHoolboy Q)","A$AP Rocky",NA,"Electric Body (feat. ScHoolboy Q) - A$AP Rocky #beats1"
2015-07-02 23:06:32,"Painted","MS MR",NA,"Painted - MS MR #beats1"
