"created","song","artist","songartist","url","count"
2015-07-05 22:52:11,"Bad Blood (Feat. Kendrick Lamar)","Taylor Swift","Bad Blood (Feat. Kendrick Lamar) - Taylor Swift","https://t.co/JNWOYie7i2",20
2015-07-05 22:48:26,"Pedestrian At Best","Courtney Barnett","Pedestrian At Best - Courtney Barnett","https://t.co/VH1qO224JN",21
2015-07-05 22:38:39,"Little Monster","Royal Blood","Little Monster - Royal Blood","https://t.co/hoA22ruzAz",23
2015-07-05 22:34:10,"Cha Cha","D.R.A.M.","Cha Cha - D.R.A.M.","https://t.co/y5x202RZhS",21
2015-07-05 21:06:22,"Holding On (Feat. Gregory Porter)","Disclosure","Holding On (Feat. Gregory Porter) - Disclosure","https://t.co/A59KFhjiMB",21
2015-07-05 21:02:37,"Cha Cha","D.R.A.M.","Cha Cha - D.R.A.M.","https://t.co/y5x202RZhS",21
2015-07-05 20:15:20,"Alright","Kendrick Lamar","Alright - Kendrick Lamar","https://t.co/8mQmxY8fws",23
2015-07-05 18:55:50,"Little Monster","Royal Blood","Little Monster - Royal Blood","https://t.co/hoA22ruzAz",23
2015-07-05 18:52:03,"Good For You (Feat. A$Ap Rocky)","Selena Gomez","Good For You (Feat. A$Ap Rocky) - Selena Gomez","https://t.co/O0qUbiYdXK",20
2015-07-05 18:44:33,"We Run The Block","Bonkaz","We Run The Block - Bonkaz","https://t.co/SWxqsMit0g",18
2015-07-05 18:22:49,"Let It Go","James Bay","Let It Go - James Bay","https://t.co/IvTH8ev32R",20
2015-07-05 18:19:03,"Where Are Ü Now (With Justin Bieber)","Skrillex &Amp; Diplo","Where Are Ü Now (With Justin Bieber) - Skrillex &Amp; Diplo","https://t.co/RPsSAlyXnw",22
2015-07-05 18:13:48,"House Every Weekend","David Zowie","House Every Weekend - David Zowie",NA,19
2015-07-05 18:00:18,"Holding On (Feat. Sam Dew)","Julio Bashmore","Holding On (Feat. Sam Dew) - Julio Bashmore","https://t.co/xckvanF7PP",20
2015-07-05 17:13:46,"Cha Cha","D.R.A.M.","Cha Cha - D.R.A.M.","https://t.co/y5x202RZhS",21
2015-07-05 16:12:14,"Alright","Kendrick Lamar","Alright - Kendrick Lamar","https://t.co/8mQmxY8fws",23
2015-07-05 15:49:00,"Trap Queen","Fetty Wap","Trap Queen - Fetty Wap","https://t.co/OWRc7c13Gg",21
2015-07-05 15:36:59,"Holding On (Feat. Gregory Porter)","Disclosure","Holding On (Feat. Gregory Porter) - Disclosure","https://t.co/A59KFhjiMB",21
2015-07-05 15:24:59,"Can't Feel My Face","The Weeknd","Can't Feel My Face - The Weeknd","https://t.co/q5jNrBLMdm",25
2015-07-05 15:18:14,"Freedom","Pharrell Williams","Freedom - Pharrell Williams","https://t.co/McCYQzuIcH",21
2015-07-05 15:11:28,"Don't","Bryson Tiller","Don't - Bryson Tiller","https://t.co/5aIpY2Oagv",18
2015-07-05 14:48:59,"Dreams","Beck","Dreams - Beck","https://t.co/AyQGWKitnm",23
2015-07-05 12:52:40,"Little Monster","Royal Blood","Little Monster - Royal Blood","https://t.co/hoA22ruzAz",23
2015-07-05 12:24:08,"Let It Go","James Bay","Let It Go - James Bay","https://t.co/IvTH8ev32R",20
2015-07-05 12:10:38,"Holding On (Feat. Sam Dew)","Julio Bashmore","Holding On (Feat. Sam Dew) - Julio Bashmore","https://t.co/xckvanF7PP",20
2015-07-05 12:06:53,"Pedestrian At Best","Courtney Barnett","Pedestrian At Best - Courtney Barnett","https://t.co/VH1qO224JN",21
2015-07-05 09:58:35,"Trap Queen","Fetty Wap","Trap Queen - Fetty Wap","https://t.co/OWRc7c13Gg",21
